id,k,weight
ctrnact-01_3-6a-1,1,1
ctrnact-01_34-5c-1,1,2
ctrnact-01_34-5e-1,1,2
ctrnact-01_346-4l-1,1,3
ctrnact-01_36-4f-1,1,2
ctrnact-01_36-5b-1,1,3
ctrnact-01_3c-3a-1,1,4
ctrnact-01_4-4n-1,1,1
ctrnact-01_46c-3c-1,1,5
ctrnact-01_6-3d-1,1,2
ctrnact-02_34-4p_5c-1,2,3
ctrnact-02_34-4s_5c-1,2,4
ctrnact-02_34-5c_5f-1,2,4
ctrnact-02_34-5c_6f-1,2,3
ctrnact-02_34-5c_6i-1,2,4
ctrnact-02_34-5d_5f-1,2,4
ctrnact-02_34-5e_6a-1,2,3
ctrnact-02_346-4f_4k-1,2,3
ctrnact-02_346-4f_4k-2,2,3
ctrnact-02_346-4k_4l-1,2,5
ctrnact-02_346-4l_5c-1,2,4
ctrnact-02_346-4l_5e-1,2,4
ctrnact-02_346c-3c_4l-1,2,6
ctrnact-02_34c-3a_4b-1,2,4
ctrnact-02_34c-4a_6d-1,2,5
ctrnact-02_36-4d_4f-1,2,2
ctrnact-02_36-4d_5a-1,2,3
ctrnact-02_36-4d_6a-1,2,3
ctrnact-02_36-5a_6d-1,2,3
ctrnact-02_36-5b_6j-1,2,4
ctrnact-03_34-4o_5d_5f-1,3,3
ctrnact-03_34-4p_4s_5c-1,3,5
ctrnact-03_34-4p_5c2-1,3,5
ctrnact-03_34-4p_5c_6f-1,3,4
ctrnact-03_34-4p_5c_6i-1,3,5
ctrnact-03_34-4s2_5c-1,3,6
ctrnact-03_34-4s_5c2-1,3,6
ctrnact-03_34-4s_5c_6f-1,3,5
ctrnact-03_34-4s_5c_6i-1,3,6
ctrnact-03_34-5c2_6f-1,3,5
ctrnact-03_34-5c2_6i-1,3,6
ctrnact-03_34-5c_5e_6a-1,3,4
ctrnact-03_34-5c_6f_6i-1,3,5
ctrnact-03_34-5c_6i2-1,3,6
ctrnact-03_34-5d2_5f-1,3,6
ctrnact-03_34-5d_5f2-1,3,3
ctrnact-03_34-5e2_6a-1,3,4
ctrnact-03_346-4d_4h_4k-1,3,5
ctrnact-03_346-4d_4h_4k-2,3,5
ctrnact-03_346-4e_4k_5c-1,3,4
ctrnact-03_346-4f_4k_4r-1,3,4
ctrnact-03_346-4f_4k_4s-1,3,4
ctrnact-03_346-4f_4k_4u-1,3,5
ctrnact-03_346-4f_4k_4u-2,3,5
ctrnact-03_346-4g_4h_4k-1,3,5
ctrnact-03_346-4g_4h_4k-2,3,5
ctrnact-03_346-4h_4k2-1,3,6
ctrnact-03_346-4k_4l2-1,3,6
ctrnact-03_346-4k_4l_4o-1,3,4
ctrnact-03_346-4k_4l_5e-1,3,3
